id,text,idx,location,press,Timestamp,label,cause,effect,iob2,maj_label
71,$113 billion: Where the US investment in Ukraine aid has gone,956,Ukraine,CNN,2023/09/21,0,,,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",0
71,$113 billion: Where the US investment in Ukraine aid has gone,956,Ukraine,CNN,2023/09/21,0,,,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",0
71,$113 billion: Where the US investment in Ukraine aid has gone,956,Ukraine,CNN,2023/09/21,0,,,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",0
234,'I go to sleep a dead man' - father's pain at daughter's captivity in Gaza - BBC News,291,Palestine,BBC,2024/01/23,0,,,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",0
234,'I go to sleep a dead man' - father's pain at daughter's captivity in Gaza - BBC News,291,Palestine,BBC,2024/01/23,0,,,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",0
234,'I go to sleep a dead man' - father's pain at daughter's captivity in Gaza - BBC News,291,Palestine,BBC,2024/01/23,0,,,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",0
238,'I’m not ready to lose hope': The hostages still in Gaza - BBC News,396,Palestine,BBC,2023/12/01,0,,,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",0
238,'I’m not ready to lose hope': The hostages still in Gaza - BBC News,396,Palestine,BBC,2023/12/01,0,,,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",0
238,'I’m not ready to lose hope': The hostages still in Gaza - BBC News,396,Palestine,BBC,2023/12/01,0,,,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",0
137,'Reconnaissance by fire' - What Israel's Gaza raid tells us - BBC News,258,Palestine,BBC,2023/10/26,0,,,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",0
137,'Reconnaissance by fire' - What Israel's Gaza raid tells us - BBC News,258,Palestine,BBC,2023/10/26,0,,,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",0
137,'Reconnaissance by fire' - What Israel's Gaza raid tells us - BBC News,258,Palestine,BBC,2023/10/26,0,,,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",0
184,"5 things to know for Sept. 20: Ukraine, Royal visit, Economy, Climate crisis, Hunter Biden",926,Ukraine,CNN,2023/09/20,0,,,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",0
184,"5 things to know for Sept. 20: Ukraine, Royal visit, Economy, Climate crisis, Hunter Biden",926,Ukraine,CNN,2023/09/20,0,,,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",0
184,"5 things to know for Sept. 20: Ukraine, Royal visit, Economy, Climate crisis, Hunter Biden",926,Ukraine,CNN,2023/09/20,0,,,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",0
49,A shadow of 'Ukraine fatigue' hangs over Polish politics - BBC News,731,Ukraine,BBC,2023/09/22,0,,,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",0
49,A shadow of 'Ukraine fatigue' hangs over Polish politics - BBC News,731,Ukraine,BBC,2023/09/22,0,,,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",0
49,A shadow of 'Ukraine fatigue' hangs over Polish politics - BBC News,731,Ukraine,BBC,2023/09/22,0,,,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",0
86,"After Prigozhin, who will stick their head above the parapet in Putin’s Russia?",888,Ukraine,CNN,2023/08/26,0,,,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",0
86,"After Prigozhin, who will stick their head above the parapet in Putin’s Russia?",888,Ukraine,CNN,2023/08/26,0,,,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",0
86,"After Prigozhin, who will stick their head above the parapet in Putin’s Russia?",888,Ukraine,CNN,2023/08/26,0,,,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",0
288,"After brief exile in Belarus, Wagner boss in Russia: Lukashenko",591,Ukraine,Al Jazeera,2023/07/06,0,,,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",0
288,"After brief exile in Belarus, Wagner boss in Russia: Lukashenko",591,Ukraine,Al Jazeera,2023/07/06,0,,,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",0
288,"After brief exile in Belarus, Wagner boss in Russia: Lukashenko",591,Ukraine,Al Jazeera,2023/07/06,0,,,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",0
308,"After the short-lived insurrection, questions swirl over top Russian commander and Prigozhin",891,Ukraine,CNN,2023/06/29,0,,,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",0
308,"After the short-lived insurrection, questions swirl over top Russian commander and Prigozhin",891,Ukraine,CNN,2023/06/29,1,short-lived insurrection,questions swirl over top Russian commander and Prigozhin,"['O', 'O', 'B-CAUSE', 'I-CAUSE', 'I-CAUSE', 'I-CAUSE', 'O', 'B-EFFECT', 'I-EFFECT', 'I-EFFECT', 'I-EFFECT', 'I-EFFECT', 'I-EFFECT', 'I-EFFECT', 'I-EFFECT']",0
308,"After the short-lived insurrection, questions swirl over top Russian commander and Prigozhin",891,Ukraine,CNN,2023/06/29,0,,,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",0
66,Aid headed into Gaza after Israel-Hamas seal first deal since truce ended,125,Palestine,Al Jazeera,2024/01/17,1,Israel-Hamas seal first deal since truce ended,Aid headed into Gaza,"['B-EFFECT', 'I-EFFECT', 'I-EFFECT', 'I-EFFECT', 'O', 'B-CAUSE', 'I-CAUSE', 'I-CAUSE', 'I-CAUSE', 'I-CAUSE', 'I-CAUSE', 'I-CAUSE', 'I-CAUSE', 'I-CAUSE']",1
66,Aid headed into Gaza after Israel-Hamas seal first deal since truce ended,125,Palestine,Al Jazeera,2024/01/17,1,Israel-Hamas seal first deal since truce ended,Aid headed into Gaza,"['B-EFFECT', 'I-EFFECT', 'I-EFFECT', 'I-EFFECT', 'O', 'B-CAUSE', 'I-CAUSE', 'I-CAUSE', 'I-CAUSE', 'I-CAUSE', 'I-CAUSE', 'I-CAUSE', 'I-CAUSE', 'I-CAUSE']",1
66,Aid headed into Gaza after Israel-Hamas seal first deal since truce ended,125,Palestine,Al Jazeera,2024/01/17,1,Israel-Hamas seal first deal since truce ended,Aid headed into Gaza,"['B-EFFECT', 'I-EFFECT', 'I-EFFECT', 'I-EFFECT', 'O', 'B-CAUSE', 'I-CAUSE', 'I-CAUSE', 'I-CAUSE', 'I-CAUSE', 'I-CAUSE', 'I-CAUSE', 'I-CAUSE', 'I-CAUSE']",1
